lambdaAM15	PhotonenAM15
449.0	3.4053E+18
450.0	3.5376E+18
451.0	3.6769E+18
452.0	3.5276E+18
453.0	3.2648E+18
454.0	3.5096E+18
455.0	3.4918E+18
456.0	3.6144E+18
457.0	3.6523E+18
458.0	3.5818E+18
459.0	3.5612E+18
460.0	3.5457E+18
461.0	3.6780E+18
462.0	3.7205E+18
463.0	3.7416E+18
464.0	3.6358E+18
465.0	3.5981E+18
466.0	3.6817E+18
467.0	3.5248E+18
468.0	3.6848E+18
469.0	3.7076E+18
470.0	3.5721E+18
471.0	3.6400E+18
472.0	3.8369E+18
473.0	3.6955E+18
474.0	3.7445E+18
475.0	3.8754E+18
476.0	3.7507E+18
477.0	3.7809E+18
478.0	3.9107E+18
479.0	3.8431E+18
480.0	3.9153E+18
481.0	3.9224E+18
482.0	3.9449E+18
483.0	3.9049E+18
484.0	3.8388E+18
485.0	3.8343E+18
486.0	3.1153E+18
487.0	3.4961E+18
488.0	3.7916E+18
489.0	3.5790E+18
490.0	4.0074E+18
491.0	3.8599E+18
492.0	3.6877E+18
493.0	3.9522E+18
494.0	3.8661E+18
495.0	4.1135E+18
496.0	3.9195E+18
497.0	3.9945E+18
498.0	3.8934E+18
499.0	3.9007E+18
500.0	3.8944E+18
501.0	3.7827E+18
502.0	3.7872E+18
503.0	3.9690E+18
504.0	3.7060E+18
505.0	3.9802E+18
506.0	4.1485E+18
507.0	3.9768E+18
508.0	3.8835E+18
509.0	4.0779E+18
510.0	3.9800E+18
511.0	4.0620E+18
512.0	4.1776E+18
513.0	3.9323E+18
514.0	3.8568E+18
515.0	3.9757E+18
516.0	4.0201E+18
517.0	3.2822E+18
518.0	3.7609E+18
519.0	3.6515E+18
520.0	3.9938E+18
521.0	4.0304E+18
522.0	4.1286E+18
523.0	3.8990E+18
524.0	4.2012E+18
525.0	4.1765E+18
526.0	4.0677E+18
527.0	3.5643E+18
528.0	4.0875E+18
529.0	4.2856E+18
530.0	4.1267E+18
531.0	4.3610E+18
532.0	4.2903E+18
533.0	3.8384E+18
534.0	4.1191E+18
535.0	4.1897E+18
536.0	4.3769E+18
537.0	4.0575E+18
538.0	4.2682E+18
539.0	4.1713E+18
540.0	4.0355E+18
541.0	3.8865E+18
542.0	4.2379E+18
543.0	4.1759E+18
544.0	4.3306E+18
545.0	4.2405E+18
546.0	4.2086E+18
547.0	4.2712E+18
548.0	4.1572E+18
549.0	4.2951E+18
550.0	4.2694E+18
551.0	4.2725E+18
552.0	4.3679E+18
553.0	4.2512E+18
554.0	4.3424E+18
555.0	4.3740E+18
556.0	4.3067E+18
557.0	4.2084E+18
558.0	4.3065E+18
559.0	4.0812E+18
560.0	4.1610E+18
561.0	4.4102E+18
562.0	4.2062E+18
563.0	4.3729E+18
564.0	4.2948E+18
565.0	4.3295E+18
566.0	4.1012E+18
567.0	4.3788E+18
568.0	4.3464E+18
569.0	4.2471E+18
570.0	4.2572E+18
571.0	4.1250E+18
572.0	4.3638E+18
573.0	4.3899E+18
574.0	4.3747E+18
575.0	4.2832E+18
576.0	4.2549E+18
577.0	4.3696E+18
578.0	4.2423E+18
579.0	4.3109E+18
580.0	4.3915E+18
581.0	4.4193E+18
582.0	4.4946E+18
583.0	4.5491E+18
584.0	4.5478E+18
585.0	4.5190E+18
586.0	4.4171E+18
587.0	4.5217E+18
588.0	4.4266E+18
589.0	3.8284E+18
590.0	4.0773E+18
591.0	4.3681E+18
592.0	4.2836E+18
593.0	4.3527E+18
594.0	4.3391E+18
595.0	4.2915E+18
596.0	4.4300E+18
597.0	4.4504E+18
598.0	4.4033E+18
599.0	4.4103E+18
600.0	4.4622E+18
601.0	4.4169E+18
602.0	4.3578E+18
603.0	4.4574E+18
604.0	4.5431E+18
605.0	4.5427E+18
606.0	4.5279E+18
607.0	4.5626E+18
608.0	4.5551E+18
609.0	4.5279E+18
610.0	4.5159E+18
611.0	4.5002E+18
612.0	4.5755E+18
613.0	4.5181E+18
614.0	4.3877E+18
615.0	4.5564E+18
616.0	4.4436E+18
617.0	4.3942E+18
618.0	4.5683E+18
619.0	4.5972E+18
620.0	4.6065E+18
621.0	4.6337E+18
622.0	4.4740E+18
623.0	4.4485E+18
624.0	4.4409E+18
625.0	4.4190E+18
626.0	4.4217E+18
627.0	4.5568E+18
628.0	4.3152E+18
629.0	4.4752E+18
630.0	4.4220E+18
631.0	4.5044E+18
632.0	4.3449E+18
633.0	4.6294E+18
634.0	4.5651E+18
635.0	4.6280E+18
636.0	4.5295E+18
637.0	4.6914E+18
638.0	4.7300E+18
639.0	4.7177E+18
640.0	4.6264E+18
641.0	4.6362E+18
642.0	4.6525E+18
643.0	4.7080E+18
644.0	4.6949E+18
645.0	4.7363E+18
646.0	4.6079E+18
647.0	4.5942E+18
648.0	4.5575E+18
649.0	4.4229E+18
650.0	4.4542E+18
651.0	4.7410E+18
652.0	4.5590E+18
653.0	4.7108E+18
654.0	4.6659E+18
655.0	4.4571E+18
656.0	3.9190E+18
657.0	4.1045E+18
658.0	4.5956E+18
659.0	4.6192E+18
660.0	4.6552E+18
661.0	4.6426E+18
662.0	4.6116E+18
663.0	4.6269E+18
664.0	4.6750E+18
665.0	4.7649E+18
666.0	4.7683E+18
667.0	4.7415E+18
668.0	4.7648E+18
669.0	4.8542E+18
670.0	4.7946E+18
671.0	4.7926E+18
672.0	4.7331E+18
673.0	4.7815E+18
674.0	4.7818E+18
675.0	4.7494E+18
676.0	4.8117E+18
677.0	4.7748E+18
678.0	4.8074E+18
679.0	4.7738E+18
680.0	4.7884E+18
681.0	4.7769E+18
682.0	4.8066E+18
683.0	4.7616E+18
684.0	4.7372E+18
685.0	4.7473E+18
686.0	4.6470E+18
687.0	3.3532E+18
688.0	3.8864E+18
689.0	3.9171E+18
690.0	4.1117E+18
691.0	4.2960E+18
692.0	4.4264E+18
693.0	4.4048E+18
694.0	4.3604E+18
695.0	4.4543E+18
696.0	4.4502E+18
697.0	4.7092E+18
698.0	4.6417E+18
699.0	4.5518E+18
700.0	4.5248E+18
